clean_text,true_label,topic
mình có đi chô này rồi,NEU,0
được áp dụng uống tại chỗ không ạ,NEU,0
hơi ngọt vị hơi lạ,NEU,0
đặng minh nhựt,NEU,0
bố mình làm ở bảo tàng lịch sử quốc giá đó,NEU,0
đinh nhi quy tụ đầy đủ luôn,NEU,0
nhìn giống hurry khang ấy,NEU,0
the 3rd one is impossible,NEU,0
tương chin chu thử đy,NEU,0
uống chán lắm,NEG,0
"không uống đâu, lỡ mất xe",NEU,0
có hôm dậy trễ quá chỉ kịp uống nước lọc rồi đi làm,NEU,0
"dâu tằm uống dở lắm. mà ra cửa hàng, nvien tư vấn như chạy kpi ấy. không bh uống lại ạ.",NEG,0
tui thấy dở nha,NEG,0
trương thị mỹ thoamỹ trinh úi kk,NEU,0
"trước bầu uống trà sen vàng, có bầu cũng uống sen vàng, đẻ xong cũng sen vàng.",NEU,0
đặng thanh thảo nó vễ thương,NEU,0
uống mà không thấy mochi,NEU,0
không ngon xíu nào,NEG,0
không ngon chút nào được cái thương hiệu,NEG,0
đỗ duy vinhtôi thích phindi hạt dẻ cười,POS,0
bay ơi tao thử rồi uống mà nhìn như nước mũi á còn trà thì đắng không được ngọt cho lắm ai muốn uống ngọt thì bảo nv chỉnh lại,NEG,0
khẩu vị cá nhân thì thấy ok,NEU,0
ghiền trà sen vàng nữa đêm,POS,0
mới uống rồi nha ngon nha không quá ngọt,POS,0
"xoài đác thơm uống bao mát, ghiền thật.",POS,0
ka ka2 ly 36k hehehehe,NEU,0
ngọc minh lêcó uống chưa mà cười zạ mom,NEU,0
nghe quen quen,NEU,0
còn không ạ,NEU,0
vũ trangtuyệt vời,POS,0
"món mới này phải mua uống thử thôi,highlands là mãi đỉnh",POS,0
"trà ổi tưởng uống bút chì màu, mùi hoá học kịn khủng. uống xong miệng toàn nghe mùi bút chì màu",NEG,0
katinat có trang trí giáng sinh không ạ,NEU,0
star perfume bmt,NEU,0
"bữa tui đi uống hai len, gặp ông kia ổng",POS,0
có thể là uống quanh năm suốt tháng không chán luôn,NEG,0
rồi chớt quớt luôn k,NEU,0
nhưng mà muốn uống phúc long ăn kfc cơ song phúc,POS,0
haha lần này tao đã bình thường,NEU,0
pé hay cáu,NEU,0
món mới ngon nha,POS,0
đi hơm mấy pà giang huỳnh quỳnh hồ,NEU,0
món này ngon nha,POS,0
uống thử xong uống không được,NEU,0
"nghiện quả matcha dâu, hnao cũg uóng, tốn tiền ghê",NEG,0
yfanwx893kvj2 code htht,NEU,0
"uống nó lạ , mà beo béo nha",POS,0
trần thị ngọc ánhngọc diễmđỗ hòai đạtt chưa kịp uống,NEU,0
ê 2 . tui mới uống xong . sao không có bánh .,NEU,0
trung hiếurep e với à,NEU,0
lâm hoàng pháp triển không út,NEU,0
thành phần gồm nhg gì vậy,NEU,0
"team không ngọt thì kêu không đường luôn nha, không đường cũng ngọt roy",NEU,0
hợp mấy hôm vội,NEU,0
làm lâu mún chớt,NEU,0
ngô thuỷtính tối uống á mà,NEU,0
sao không có q7.,NEU,0
lê bảo trân bữa nào chill ik pà,NEU,0
dân tình điên đảo vì quai này,NEU,0
"ê né hai món này đi, không bình thường do tao hay sao ế uống lần sợ tới già",NEG,0
có dữ nhiệt hay tái sử dụng được không?,NEU,0
đáng nhớ nhất là lần uống matcha mochi,POS,0
"cf ở đây đậm, uống tỉnh người thiệt sự",NEU,0
"ê tui thử ròi, latte vị uống thanh thanh ok lắm mấy bà",NEU,0
áp dụng nâng kích cỡ thức uống từ mày lên l với giá 5.0 vnđ,NEU,0
quách hữu vinh thử đi e,NEU,0
ngon,POS,0
uống nước xong thì lấy làm decor cửa phòng,NEU,0
auma samuel terseergreat the world need it,NEU,0
gấp đôi calo,NEU,0
phe cái nhoaa,NEU,0
nay mới uống xong,NEU,0
vừa uống hôm qua xong,NEU,0
matcha latte uống như nước lọc vị matcha vậy.,NEU,0
ô long lài tao uống nhiều chỗ mà vẫn kết ở đây,NEU,0
dạo này highland mặn dữ,NEG,0
có cần phải lau bàn hộ quán trước khi vào uống không ạ,NEU,0
không biết ai uống xong thấy hậu vị mùi thuốc lá giống tui khom vậy,NEG,0
mới đi hqua xong,NEU,0
"mình uống cả 2 rồi. đều rất ngọt. phindi matcha dâu uống nó kỳ kỳ, không hòa hợp. phindi dừa môn thì rất rõ vị dừa ngọt và bao béo ngậy . mau chán lắm",NEG,0
lam cangmust try,POS,0
phát tín hiệu sos,NEU,0
phindi matcha dâu uống ngang không tả nổi. vị nó không hợp nhau .,NEG,0
thực phẩm diên diênún tại quán được không à,NEU,0
hôm bữa uống đá 80 còn lại là nước và thạch,NEU,0
nhưng tôi đang uống mixue,POS,0
cái matcha dâu phindi dở nha uống chán th sự,NEG,0
bich phanngô thuỷtối ni uống không nè,NEU,0
uống rồi đấy,NEU,0
duyên đi uống d ơi,NEU,0
vẫn thích uống cè phe xữa với mất cha,POS,0
quá ngọt trời ơi,NEG,0
ok,NEU,0
"mệt, cần đồ ngọt gấp gấp",NEU,0
thử chưa v,NEU,0
đẹp,POS,0
thề cái dưa hấu vải uống dở lém luôn,NEG,0
cứ tưởng bia,NEU,0
"đã trải nghiệm, ok",NEU,0
syn lổy nha oan cho b rồi,NEU,0
đề nghị katinat mở ở thanh hoá mở chắc ngày e uống chục lần,NEU,0
em mới đi uống với mẹ bữa thứ 4,NEU,0
cái jj xinh iu cơ,POS,0
"một mình 1 cốc, sáng nào không thế",NEU,0
chia tui với,NEU,0
"trần bích ngọccốc đẹp thế chị ơi, lên đồ đi uống thôi",POS,0
ngày nào cũng uống tốn tiền quá phúc long ơi,NEG,0
bữa uống ly freeze của highlands xong cái.ngày hôm sau quay lại,NEU,0
lâm tú quỳnh săn ngay và luôn,POS,0
kingsada soutthidathip thipphachanhໃນຮຄບກ ບໂຕຈ ງ,NEU,0
sen vàngđến nơi uống có được áp dụng không bạn ơi,NEU,0
dắt tao như.,NEU,0
thấy cũng được,NEU,0
2 9 sn em nò,NEU,0
s tao uống nó nhạt,NEG,0
vị này batman không bao giờ uống,NEU,0
này mún đi đu freen becky,NEU,0
nãy tao mới đi thử quán này,NEU,0
cũng ngon thui,POS,0
ê tao uống rồi ngon nha bây,POS,0
cũng uống phúc long mà toàn order chứ không ghé quán,NEU,0
uống sao zạ,NEU,0
quỳnh hip trang mon a phải uống,NEU,0
uống xong thì có cần ở lại dọn bàn không ạ?,NEU,0
"ý là hôm qua mới uống phindi cassia xong có thạch cũm ngon nc cũng ok 9 10 nhe,nên thử nha mọi người",POS,0
awwe chếch em,NEU,0
genz làm social,NEU,0
mệt 2 quá 2 ơi,NEU,0
rồi chừng nào đi bơi,NEU,0
"em leo lên trển em khát nước quá, mà em thèm ly cóc đác",POS,0
phan vietvẫn cứ là hn chỉ biết đọc và đi ra,NEU,0
mình vừa trải nghiệm cốc mới,NEU,0
ở đâu vậy à,NEU,0
à không có,NEU,0
hôm qua có uống mà sao không cho que bánh kia nhỉ,NEU,0
cf giở như shit chó nó uống,NEG,0
chấm phát. để thứ 6 đi uống thử,NEU,0
byvn.netjust a moment.just a moment.,NEU,0
có nước mù luôn không?,NEU,0
thìi thì sao,NEU,0
ngon,POS,0
hộ 3 vd ghim ạ,NEU,0
highlands đẳng cấp,POS,0
quảng ngãi có chưa vậy mọi người,NEU,0
hơi ngọt và rất hoá học,NEG,0
mọi người kêu không ngon nma mình thấy ngon nha. bảo nhân viên thêm ngọt với mình thì là vừa không bị ngọt quá đâu và bỏ mochi riêng thì thấy ok lắm uống giống matcha latte mà phiên bản cao cấp hơn ấy. mochi ăn riêng thì thấy giống bột sắn nấu mà kiểu đặc hơn á,POS,0
có thật dừa diêm dẻ cười là nước dừa không ạ chứ nay uống bỏ cả cốc vì chát quá,NEG,0
mỹ tho có không ạ,NEU,0
phương phương uống mãi không thấy vừa đi thì có even,NEU,0
có ở quảng nam không ạ,NEU,0
thấy hai đứa uống cái hết thèm,POS,0
tui mê trà sen vàng lắm luôn í,POS,0
chx được uống,NEU,0
bùi tuyết nhung mua nước uống cho tao cái túi,NEU,0
phindi matcha dâu đừng uống dở lắm,NEG,0
sáng 27 4 đến quán uống nước được không nè,NEU,0
bán đăt bỏ mẹ uống không ra gì,NEU,0
lee laamn vô ap là có giá.,NEU,0
ổ này nhìn là thấy chắc bụng,NEU,0
hạnh võtuyệt vời,POS,0
"chắc ngọt lắm nhỉ , thôi đợi mùa mới vậy",NEU,0
rep inb với ạ,NEU,0
dương hoàng thúy uống không bạn?,NEU,0
xinh dữ dị chài,POS,0
katinat có ở hải phòng không ạ,NEU,0
"thích nhất trà sen vàng của highlands luôn, lần nào đi cũng gọi, hiếm lắm mới gọi món khác",POS,0
uống nước cầu đi cầu xuốc năm,NEU,0
sắp tạch rồi phải mua về uống mới được,NEU,0
"uống khét thí mồ , còn phải tự phục vụ mà còn đắt nữa k",NEG,0
uống như nc mũi,NEU,0
ê thèm nha .,POS,0
mmc hqua uống này thì đâu có đau ví,NEU,0
thành tâm đón nhân ngůöi ây đên cãm ön thông điêp,NEU,0
uống đi kìa,NEU,0
tao đi uống hl 7 năm rồi,NEU,0
cả team mình đều nghiện món sữa chua xoài này luôn á.,NEG,1
"hè năm ngoái có trà ổi hồng ngon thật sự mà không có có lại, trà dưa hấu uống dở vãi",NEG,1
01 thức uống best seller katinat size l trà sữa chôm chôm trà sữa oolong ba lá trà đào hồng đài cóc cóc đác đác .,NEU,1
"katies hà nội ơi, lên lịch hẹn hò bạn bè tại katinat kim mã, cùng nhau nhâm nhi trà sữa chôm chôm và ngắm dòng người tấp nập nhé!",NEU,1
tưởng trứng ốc,NEU,1
trà sữa chôm chôm ngon vại,POS,1
highlands ra thêm trà bưởi đi,NEU,1
nhìn hấp dẫn,POS,1
fan cứngcường võquá đã trà đá đường,POS,1
restock món lục trà sữa tân cương đi ạ phuc long coffee tea,NEU,1
vi châu coi cà mau có pl không,NEU,1
phúc long hcm nào còn vậy ạ,NEU,1
"nạp năng lượng đầu giờ chiều đúng cách. là phải chill tại phúc long, nhâm nhi ly trà thơm dưới tán cây xanh mướt sạc pin cùng bộ ba idol đang chiếm sóng tại các cửa hàng phúc long hồng trà bưởi mật onghồng trà sữa yến mạch mật ongcà phê curcumin mật ongđón giờ chiều đầy hứng khởi với bst hương mật ươm sắc ngay nha!",POS,1
thanh nhưđáng lẽ này chìu nay mới đúng k,NEU,1
"sản phẩm mua áp dụng dòng sản phẩm thức uống trà freeze trà sữa bao gồm trà freeze mơ mận tây bắc, không bao gồm matcha latte dâu tây, trà mãng cầu, bst thức uống matchađi cỡ lớn. đối với sản phẩm mua không có cỡ lớn, khách hàng sẽ mua cỡ vừa.",NEG,1
"mình vừa săn được e ly màu hồng, quá cute",NEU,1
tnhien thấy là thèm phúc long lại luon,POS,1
nhung phươngmẹ cũng quên dần quên ước mơ của mẹ là gì,NEU,1
nhìn ly cafe là thấy đậm rồi,NEU,1
đỗ li ngày nào cũng lướt thấy chị xúc topping ở phúc long quá đã,POS,1
mặn chua không còn vị nào khác,NEG,1
phinđi choco vẫn là chân ái,POS,1
trà bha aha đồ đó,NEU,1
"phúc long đường lê thị hà, nhân viên thật dễ thương và thân thiện",POS,1
phúc long còn món trà olong mãng cầu nữa không ạ,NEU,1
"trà xanh thơm, bánh mềm, ưng bụng",POS,1
"hoàng kim ngântỉnh lại đi phúc long masan, tỉnh lại.",NEU,1
"quán tự phục vụ, ly trà đá cũng không có. trong khi cf rang xay cũng đầy, giá cả hợp lý, trà, nước phục vụ tận răng. không bgiờ vào highlands lan nào nữa",NEG,1
úi gặp content của mình trên đây luôn,NEU,1
à đá xay dâu tằm thêm thạch đi để tớ đóng họ trọn đời nào,NEU,1
"ctcp đồ hộp hạ long dùng thịt lợn bẩn còn highland nhập khẩu từ ctcp đồ hộp hạ long là vải với sen, nên highlands vẫn ổn mà mấy ní",POS,1
đàm tố nhưphan tuấn antr ơi tao thích dâu tằm,POS,1
"áp dụng cho các món trà sen vàng củ năng , trà thanh đào, phinđi hạnh nhân, trà thạch đào, bánh mì que, bánh croissant",NEU,1
lý ngọc như ýtui mún thử này bac,NEU,1
các bác follow e với ạ,NEU,1
freeze choco nhó,NEU,1
"mọi người thich tra dam thi cu o long lai ma goi nhe, không hoi han dau",NEU,1
ồ hóa ra đây là hãng trà mà hiếu mèo hay ship cho bé chychy đây à,NEU,1
nhìn bst phúc long weaving là thấy dính liền.,NEU,1
trà sữa buổi trưa vẫn ok nha,NEU,1
"chiếc ly 2 lớp, xoay nhẹ lớp ngoài để nhìn thấy cả một hành trình.từ công đoạn hái trà và chế biến đến nghệ thuật pha chế và thưởng trà, tất cả được kể lại qua từng chuyển động như đèn xoay truyền thống .mỗi vòng xoay là một mảnh ghép của câu chuyện mở ra từng lớp di sản, và một cơ hội rinh quà.",NEU,1
tại sao lại không còn món trà dưa hấu vải trong menh của 2land,NEU,1
trung thành freeze,NEU,1
món mình thích,POS,1
trà sữa muôn năm,NEU,1
"không gian 2 tầng rộng rãi, view thoáng đãng, phù hợp cho nhiều khoảnh khắc trong ngày buổi sáng ghé làm ly phin sữa đá bắt đầu ngày mớibuổi chiều tối nhâm nhi trà sen vàng hay matchađi dừa mây và ngắm phố bạch đằng lên đèn",NEU,1
"sữa chua xoài tao thấy hơi ngọt, lần sau dặn ít đường xem sao.",NEG,1
chân ái vị ts oolong,POS,1
sao lại có hoa atisô,NEU,1
ra lại dưa hấu đi,NEU,1
nhìn xong tự nhiên đói ngang luôn,NEU,1
xin menu giá bánh ạ,NEU,1
"trà đậm đà vừa đủ, bánh ngọt vừa xinh, topping đầy ấp, cho một ngày ươm sắc !",POS,1
"cafe thì chưa uống thử, còn trà thì ngol",NEU,1
tối mà có người yêu đi phúc long là đúng bài,NEU,1
đà lạt không thấy vậy,NEU,1
crosisant có nhân không pl,NEU,1
thích minh à mà quay lén rồi up lên tik tok,POS,1
trần hoam gu phin hạnh nhân hi,NEU,1
tải app đây nhen các mom.,NEU,1
ai là mỹ nhân đưa tay đây nào,NEU,1
may vợ tao bị dị ứng với trà của hl không là lại mất công về giáo dục tư tưởng lại,NEU,1
quế pha với cà phê là quá phê,NEU,1
"qua mình mới thử , và sẽ quay lại với freeze trà xanh",NEU,1
chiều nay đi bơi về gặp tôi ở phúc long nhá,NEU,1
thạch ngoc anhcái jj xinh iu cơ,POS,1
tui nghiện món trà sữa ở đây,NEU,1
chớt tao rồi bây ơi. chôm chôm mà tao nói lộn sao nhiều vải vậy,NEU,1
trân châu shop lấy từ tủ đá ạ mà n cứng ối dồi ôi luôn,NEU,1
em chỉ mê mỗi trà sữa hongkong của highlands,POS,1
hoang anhphạm minh ánh đi không,NEU,1
em sẽ đợi nè phúc long ơi,NEU,1
trà sữa oolong nướng s chỉ 19k giá gốc 42k,NEG,1
tao nghiền nước dâu tằm,POS,1
sáng làm ly ô long là tỉnh người,NEU,1
"dở lắm nha mọi người, bữa mới uống, thua cả ly trà dưa hấu vỉa hè nữa, size lớn bé tí",NEG,1
các bác cho em hỏi là trà sen vàng cốt trà có phải là của trà đào không hay cốt khác vậy ạ.,NEU,1
vốn đã thích highlands. vì chiến dịch marketing này mà càng thích hơn.,POS,1
quán vẫn là cg đó rất là ô kê la lá lô,NEU,1
phú hẹn bạn ở phúc long nhé,NEU,1
"hom nay di ngang thay quán đông, chắc món này đang hot",POS,1
mùi rất thơm và cuốn,POS,1
anh long ơi cho em bốc ra vĩnh long,NEU,1
áa dâu tằm,NEU,1
"katies hà đông ơi, rủ bạn thân ghé katinat aeon mall hà đông cùng nhâm nhi trà sữa chôm chôm nhé!",NEU,1
tui thèm bà quá phúc long ơi,POS,1
sao mình không order được trà sữa chôm chôm trên app vậy ạ,NEU,1
cỡ này luôn roiif,NEU,1
giá b nhiêu,NEU,1
trà bây giờ ngọt hơn xưa,NEU,1
"phúc long đường lê thị hà, nhân viên thật dễ thương và thân thiện",POS,1
ngay món ruột hồng trà sữa nữa ad. không tin được luôn,NEU,1
ăn bánh uống trà là chuẩn,POS,1
trà mơ uống dở điên,NEG,1
phan ơ quả thanh hoá,NEU,1
duc dao alo any ơi,NEU,1
ca phê ngon mà không có trà uống,POS,1
trả lại món trà xoài lại dùm tui đi trời ơi,NEU,1
khoai môn tưởng đá gì không trời,NEU,1
cảm ơn bạn nhiều,NEU,1
cho xin menu,NEU,1
ib menu giá nha,NEU,1
lên giá mắc quá rồi,NEG,1
uống mỗi freeze trà xanh,NEU,1
"cho hồng trà bưởi mật ong comeback được không ạ, uống chưa đã",NEU,1
huhu long thành nhơn trạch không có chi nhánh buồn ghê,NEU,1
bây giờ có trà sữa rồi hả?,NEU,1
chị quên ly chôm chôm less sugar no ice để pickup mang về kìa chị,NEU,1
quá đã mai oder 1 ly frezz mát cha đá xay,POS,1
đường thốt nốt ngân ngân duy nè,NEU,1
"bánh cuộn trà ô long đào cốt bánh mềm mịn, thoảng hương trà ô long đặc sản cùng mứt đào ngọt dịu.",NEU,1
katinatquán cà phêgửi tin nhắn,NEU,1
hẹn hò cùng nắng ấm và phúc long,NEU,1
ts chôm chôm vẫn là chân ái hihi,POS,1
"phúc long lâu đời v luôn hả, giờ mình mới biết",NEU,1
thu thảotra sua chôm chôm 22k,NEU,1
đỉnh nóc kịch trần ạ,POS,1
hấp dẫn quá xị,POS,1
sữa chua xoài healthy nha mấy b,NEG,1
"tui khoái nhất trà đào á, ban đầu hơi đắng nhẹ với chát. nhg lúc sau ngon bá cháy",POS,1
"áp dụng cho tất cả menu bánh và nước, không áp dụng cho hóa đơn có merchandise hoặc cà phê rang xay.",NEU,1
trà ổi uống 1 lần rợn người,NEU,1
tui mê hồng trà đào của pl lắm,POS,1
cốc ngoài quán toàn đá với chút mà lên đây nhìn sịn thế,NEG,1
ghé phúc long để cùng nhau dẫy hội mơ đào ngay thôi!,NEU,1
đáp án đào,NEU,1
gọi trà đá bằng cụ,NEU,1
trà sữa mochi dở ẹc lại còn đắt nữa thà tiền đấy đi mua cốc matcha latte ngon hơn,NEG,1
ngọc mỹ cấn ê xinh vãi 114k,POS,1
giá tầm bnhiu một cốc v mọi người,NEU,1
có cần dịu keo vậy không bè long,NEU,1
mà nói thật trà sữa mới ra dở quá,NEG,1
"hôm nay mood cần chút tươi ?thử ngay hồng trà bưởi mật ong với nền hồng trà cao cấp đậm vị, mật ong dịu ngọt, thêm bưởi tươi chua thanh, uống vào là thấy refresh cả vị giác.một lựa chọn nổi bật trong bst hương mật ươm sắc đó nha !mời tâm giao ghé phúc long thưởng thức ngay nhé",NEG,1
gửi chút sắc xanh mát lành cho ngày 8.3 cùng matchađi tại đây,POS,1
bạn bè tui ai cũng ghiền món này,POS,1
"không nha, không thích ts",NEG,1
"hấp dẫn quá, đây là món nhiều bạn thích nè",POS,1
"uống đủ vị trà sữa và mong muốn gạch món này ra menu, ngán lắm rồi",NEU,1
thảo trầnngọc trinhtrần thị mỹ tiên trà sữa dâu tằm?!?,NEU,1
một lòng với freeze chocolate,NEU,1
"red velvet ở đây ăn không bị bở, ưng nha",POS,1
trộm vía bst này ok nha.,NEU,1
sandwich ở đây có bị khô không mọi người,NEU,1
mê cái vị thanh của sữa chua xoài này ghê,POS,1
giá lẻ sao ạ,NEU,1
